Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
53,1661265471902730294,1661265471808630220,4013.63,"[-0.5001190900802612, 0.054103050380945206, 0.8627984523773193, -0.05032467097043991]","[-176.21539306640625, 60.2789421081543, 175.02162170410156]"
54,1661265471921516990,1661265471808630220,4013.64,"[-0.5000136494636536, 0.05407920852303505, 0.8628756403923035, -0.05007608234882355]","[-176.26187133789062, 60.263431549072266, 174.99774169921875]"
55,1661265471932261119,1661265471923694807,4013.65,"[-0.4999415874481201, 0.053912993520498276, 0.8629757165908813, -0.04924222454428673]","[-176.4088134765625, 60.24834442138672, 174.9345703125]"
56,1661265471936486855,1661265471923694807,4013.6600000000003,"[-0.49982380867004395, 0.05388842895627022, 0.86305832862854, -0.04901489242911339]","[-176.4508056640625, 60.2313232421875, 174.91342163085938]"
57,1661265471944181742,1661265471923694807,4013.67,"[-0.49976158142089844, 0.05385880544781685, 0.8631080985069275, -0.04880567640066147]","[-176.48883056640625, 60.22171401977539, 174.89529418945312]"
58,1661265471952752673,1661265471923694807,4013.6800000000003,"[-0.4997256398200989, 0.05383501946926117, 0.8631409406661987, -0.04861846938729286]","[-176.52325439453125, 60.21577072143555, 174.8784942626953]"
59,1661265471966480874,1661265471923694807,4013.69,"[-0.499715656042099, 0.05383719131350517, 0.8631572723388672, -0.0484296940267086]","[-176.5611114501953, 60.21331024169922, 174.8562774658203]"
60,1661265471972809867,1661265471923694807,4013.7000000000003,"[-0.4998258054256439, 0.05365429446101189, 0.8631530404090881, -0.047564875334501266]","[-176.71302795410156, 60.222007751464844, 174.79261779785156]"
61,1661265471994052561,1661265471923694807,4013.71,"[-0.49984514713287354, 0.053691115230321884, 0.8631548285484314, -0.047285016626119614]","[-176.77320861816406, 60.223026275634766, 174.7528839111328]"
62,1661265472003872044,1661265471923694807,4013.7200000000003,"[-0.49986255168914795, 0.05372829735279083, 0.8631624579429626, -0.046918418258428574]","[-176.85073852539062, 60.223228454589844, 174.70303344726562]"
63,1661265472020644118,1661265471923694807,4013.73,"[-0.49985674023628235, 0.05376921221613884, 0.8631888031959534, -0.046445056796073914]","[-176.94985961914062, 60.21969223022461, 174.6402130126953]"
64,1661265472025749156,1661265471923694807,4013.7400000000002,"[-0.4998614192008972, 0.0538327693939209, 0.8632122278213501, -0.045883383601903915]","[-177.06927490234375, 60.21699905395508, 174.56263732910156]"
65,1661265472029409791,1661265472026836471,4013.75,"[-0.49992984533309937, 0.053839582949876785, 0.8632269501686096, -0.04484071955084801]","[-177.2784423828125, 60.219459533691406, 174.4405975341797]"
66,1661265472034503628,1661265472026836471,4013.76,"[-0.4999763071537018, 0.05391629412770271, 0.8632301688194275, -0.04416491463780403]","[-177.42242431640625, 60.22146224975586, 174.3470001220703]"
67,1661265472046654909,1661265472026836471,4013.77,"[-0.4999467730522156, 0.05401149392127991, 0.8632780313491821, -0.04344161972403526]","[-177.57737731933594, 60.21304702758789, 174.2446746826172]"
68,1661265472068514241,1661265472026836471,4013.78,"[-0.5000123977661133, 0.05410240218043327, 0.8632726669311523, -0.042673613876104355]","[-177.74154663085938, 60.21683120727539, 174.1374969482422]"
69,1661265472072568454,1661265472026836471,4013.79,"[-0.5002508759498596, 0.054109081625938416, 0.8631748557090759, -0.04184035584330559]","[-177.91067504882812, 60.24271011352539, 174.03834533691406]"
70,1661265472080297122,1661265472026836471,4013.8,"[-0.5004264712333679, 0.054035380482673645, 0.8631348013877869, -0.04064509645104408]","[-178.14222717285156, 60.25745391845703, 173.91371154785156]"
71,1661265472084412623,1661265472026836471,4013.81,"[-0.5006087422370911, 0.05401939898729324, 0.8630711436271667, -0.039761122316122055]","[-178.31863403320312, 60.27527618408203, 173.81324768066406]"
72,1661265472096498334,1661265472026836471,4013.82,"[-0.5009230375289917, 0.05404410883784294, 0.8629290461540222, -0.03884381055831909]","[-178.50814819335938, 60.310306549072266, 173.69937133789062]"
73,1661265472102765508,1661265472026836471,4013.83,"[-0.5011698007583618, 0.054156843572854996, 0.8628233671188354, -0.037840016186237335]","[-178.72470092773438, 60.33574295043945, 173.55813598632812]"
74,1661265472119762827,1661265472026836471,4013.84,"[-0.5013104677200317, 0.05439916253089905, 0.862774670124054, -0.03672000393271446]","[-178.9784698486328, 60.34624099731445, 173.3782958984375]"
75,1661265472126554090,1661265472026836471,4013.85,"[-0.501326322555542, 0.05476519837975502, 0.8628050088882446, -0.03521643579006195]","[-179.32162475585938, 60.33695983886719, 173.1305389404297]"
76,1661265472132818991,1661265472129217695,4013.86,"[-0.5013179183006287, 0.055261049419641495, 0.8628363609313965, -0.03376435488462448]","[-179.66905212402344, 60.32439041137695, 172.8632049560547]"
77,1661265472144099447,1661265472129217695,4013.87,"[-0.5013724565505981, 0.05584939569234848, 0.8628302812576294, -0.032103270292282104]","[179.93017578125, 60.31767654418945, 172.55245971679688]"
78,1661265472152767295,1661265472129217695,4013.88,"[-0.5013477206230164, 0.05657399073243141, 0.8628622889518738, -0.030310001224279404]","[179.4888916015625, 60.29837417602539, 172.20062255859375]"
79,1661265472166484536,1661265472129217695,4013.89,"[-0.5012586712837219, 0.05747107043862343, 0.8629212975502014, -0.028352295979857445]","[178.99668884277344, 60.26772689819336, 171.79698181152344]"
80,1661265472174975764,1661265472129217695,4013.9,"[-0.5011050701141357, 0.05854472890496254, 0.863010823726654, -0.026048697531223297]","[178.4176483154297, 60.22338104248047, 171.32052612304688]"
81,1661265472182785304,1661265472129217695,4013.9100000000003,"[-0.5009381771087646, 0.05981437489390373, 0.8630897402763367, -0.02365090139210224]","[177.799072265625, 60.173828125, 170.79591369628906]"
82,1661265472196537740,1661265472129217695,4013.92,"[-0.5005653500556946, 0.06118147075176239, 0.8632773160934448, -0.021061867475509644]","[177.13906860351562, 60.092376708984375, 170.23724365234375]"
83,1661265472205273284,1661265472129217695,4013.9300000000003,"[-0.5000519156455994, 0.06258939206600189, 0.8635378479957581, -0.01825200393795967]","[176.4383544921875, 59.987022399902344, 169.65264892578125]"
84,1661265472219066439,1661265472129217695,4013.94,"[-0.49929678440093994, 0.06407788395881653, 0.8639259338378906, -0.015128110535442829]","[175.6792755126953, 59.84270477294922, 169.02874755859375]"
85,1661265472223075938,1661265472129217695,4013.9500000000003,"[-0.49835142493247986, 0.06560148298740387, 0.8644116520881653, -0.011618920601904392]","[174.85426330566406, 59.66484069824219, 168.367919921875]"
86,1661265472233683457,1661265472129217695,4013.96,"[-0.49731120467185974, 0.06714720278978348, 0.86493319272995, -0.007967508397996426]","[174.0111083984375, 59.468711853027344, 167.69886779785156]"
87,1661265472246552775,1661265472235777699,4013.9700000000003,"[-0.49609488248825073, 0.06871169060468674, 0.8655352592468262, -0.00416363961994648]","[173.15296936035156, 59.243385314941406, 167.02581787109375]"
88,1661265472252756993,1661265472235777699,4013.98,"[-0.49475571513175964, 0.07031996548175812, 0.8661824464797974, -0.00024437237880192697]","[172.283935546875, 58.996028900146484, 166.34768676757812]"
89,1661265472266519140,1661265472235777699,4013.9900000000002,"[-0.4934069514274597, 0.07197140157222748, 0.8668075203895569, 0.0037946237716823816]","[171.39930725097656, 58.741127014160156, 165.66055297851562]"
90,1661265472272756558,1661265472235777699,4014.0,"[-0.4920639991760254, 0.07367926836013794, 0.8673983216285706, 0.008035242557525635]","[170.48219299316406, 58.47881317138672, 164.95323181152344]"
